Parent MNE	WikiID		WikiTopic		MID		Weight
Alibaba Group Holding Ltd	Q513307	>>	%D8%B9%D9%84%D9%8A_%D8%A8%D8%A7%D8%A8%D8%A7_(%D9%85%D9%88%D9%82%D8%B9)	>>	/m/07chpp	>>	3,462993012
Alibaba Group Holding Ltd	Q11079561	>>	Alibaba_Pictures	>>	/g/11b60wv1h8	>>	2,225482664
Alibaba Group Holding Ltd	Q17727179	>>	UCWeb	>>	/m/011c7bt5	>>	1,623547643
Alibaba Group Holding Ltd	Q16947973	>>	Cainiao	>>	/m/0vxcjdc	>>	1,057496974
Alibaba Group Holding Ltd	Q24838019	>>	Ele.me	>>	/g/11cmy665p2	>>	1,037545355
Alimentation Couche-Tard Inc	Q3268010	>>	Circle_K	>>	/m/01xz9v	>>	77,48269605
Alimentation Couche-Tard Inc	Q2836957	>>	Alimentation_Couche-Tard	>>	/m/01pfh9	>>	22,51730395
Allianz SE	Q487292	>>	Allianz	>>	/m/03s59j	>>	70,96887366
Allianz SE	Q1970040	>>	PIMCO	>>	/m/05crjs	>>	15,71435196
Allianz SE	Q683021	>>	Euler_Hermes	>>	/m/0c3kg7	>>	8,796338016
Allianz SE	Q1970410	>>	AGF_(company)	>>	/m/08dps7	>>	1,561172612
Allianz SE	Q4732501	>>	Allianz_Life	>>	/m/0746704	>>	1,198963768
Allianz SE	Q20825775	>>	Allianz_Private_Krankenversicherung	>>	/g/11b7vcqyn7	>>	0,86090218
Allianz SE	Q1386668	>>	Allianz_Direct_Versicherung	>>	/g/1hhzgdnn5	>>	0,543050796
Allianz SE	Q19903544	>>	Petplan_UK	>>	/m/010ll98s	>>	0,35634701
Allstate Corp	Q2645636	>>	Allstate	>>	/m/03ct7b	>>	75,08216346
Allstate Corp	Q5402293	>>	Esurance	>>	/m/064n9k	>>	14,87975676
Allstate Corp	Q7581985	>>	SquareTrade	>>	/m/02r6189	>>	6,096804163
Allstate Corp	Q5375512	>>	Encompass_Insurance_Company	>>	/m/09mt0q2	>>	3,941275618
