Parent MNE	Headquarters of Parent MNE	Number of Affiliates	Number of Domains	Number of Jurisdictions declared in Annual Reporting	Number of Jurisdictions with a Physical Presence	Number of Jurisdictions with Presence	International Share	C3	C5	HHI	AD	AE	AF	AG	AI	AL	AM	AN	AO	AR	AS	AT	AU	AW	AZ	BA	BB	BD	BE	BF	BG	BH	BI	BJ	BM	BN	BO	BR	BS	BT	BV	BW	BY	BZ	CA	CC	CD	CF	CG	CH	CI	CK	CL	CM	CN	CO	CR	CU	CV	CW	CX	CY	CZ	DE	DJ	DK	DM	DO	DZ	EC	EE	EG	EH	ER	ES	ET	FI	FJ	FK	FM	FO	FR	GA	GB	GD	GE	GF	GG	GH	GI	GL	GM	GN	GP	GQ	GR	GS	GT	GU	GW	GY	HK	HN	HR	HT	HU	ID	IE	IL	IM	IN	IQ	IR	IS	IT	JE	JM	JO	JP	KE	KG	KH	KI	KM	KN	KR	KW	KY	KZ	LA	LB	LC	LI	LK	LR	LS	LT	LU	LV	LY	MA	MC	MD	ME	MF	MG	MH	MK	ML	MM	MN	MO	MP	MQ	MR	MS	MT	MU	MV	MW	MX	MY	MZ	NC	NE	NF	NG	NI	NL	NO	NP	NR	NU	NZ	OM	PA	PE	PF	PG	PH	PK	PL	PM	PN	PR	PS	PT	PY	QA	RE	RO	RS	RU	RW	SA	SB	SC	SD	SE	SG	SH	SI	SK	SL	SM	SN	SO	SR	ST	SV	SX	SY	SZ	TC	TD	TG	TH	TJ	TK	TL	TM	TN	TO	TR	TT	TV	TW	TZ	UA	UG	US	UY	UZ	VC	VE	VG	VI	VN	VU	WF	WS	XK	YE	YT	ZA	ZM	ZW
Cigna Corp	US	271	178	21	21	25	0,239852399	0,826568266	0,870848708	0,582467559	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found
Cisco Systems Inc	US	405	218	88	89	94	0,795061728	0,365432099	0,441975309	0,064801097	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Digital	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Digital	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Digital	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Physical	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found
Citigroup Inc	US	1178	219	28	91	93	0,509337861	0,604414261	0,657894737	0,252087651	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Annual Reporting	Physical	Not found	Not found	Not found	Physical	Physical	Not found	Not found	Physical	Not found	Not found	Physical	Not found	Not found	Physical	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Physical	Not found	Not found	Annual Reporting	Physical	Not found	Annual Reporting	Physical	Annual Reporting	Annual Reporting	Physical	Not found	Not found	Not found	Not found	Not found	Physical	Physical	Not found	Not found	Not found	Physical	Physical	Physical	Not found	Physical	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Physical	Annual Reporting	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Physical	Not found	Not found	Not found	Annual Reporting	Physical	Not found	Not found	Physical	Physical	Annual Reporting	Physical	Physical	Annual Reporting	Not found	Not found	Not found	Not found	Physical	Physical	Physical	Annual Reporting	Physical	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Physical	Annual Reporting	Annual Reporting	Not found	Physical	Not found	Not found	Physical	Not found	Not found	Not found	Physical	Not found	Not found	Physical	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Digital	Annual Reporting	Not found	Not found	Not found	Not found	Physical	Not found	Physical	Annual Reporting	Not found	Not found	Physical	Physical	Annual Reporting	Not found	Not found	Physical	Not found	Physical	Physical	Physical	Not found	Physical	Not found	Annual Reporting	Not found	Physical	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Physical	Not found	Not found	Physical	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Physical	Not found	Annual Reporting	Physical	Not found	Annual Reporting	Physical	Annual Reporting	Physical	Annual Reporting	Physical	Not found	Not found	Physical	Physical	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Physical	Not found
Coca-Cola Co	US	232	495	29	42	117	0,745689655	0,465517241	0,564655172	0,100401308	Not found	Annual Reporting	Not found	Not found	Not found	Digital	Digital	Not found	Not found	Annual Reporting	Not found	Digital	Annual Reporting	Not found	Digital	Digital	Not found	Digital	Annual Reporting	Not found	Physical	Digital	Not found	Not found	Annual Reporting	Not found	Digital	Annual Reporting	Digital	Not found	Not found	Not found	Not found	Digital	Annual Reporting	Not found	Digital	Not found	Not found	Physical	Digital	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Digital	Digital	Annual Reporting	Not found	Physical	Not found	Digital	Digital	Digital	Physical	Digital	Not found	Not found	Physical	Not found	Digital	Not found	Not found	Digital	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Digital	Not found	Not found	Physical	Not found	Not found	Digital	Not found	Not found	Not found	Digital	Not found	Digital	Not found	Not found	Not found	Annual Reporting	Digital	Digital	Not found	Digital	Physical	Annual Reporting	Not found	Not found	Annual Reporting	Digital	Not found	Physical	Digital	Not found	Not found	Digital	Annual Reporting	Digital	Digital	Not found	Not found	Not found	Not found	Digital	Digital	Annual Reporting	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Annual Reporting	Digital	Not found	Digital	Not found	Digital	Digital	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Digital	Not found	Not found	Annual Reporting	Annual Reporting	Digital	Not found	Not found	Not found	Digital	Digital	Annual Reporting	Physical	Not found	Not found	Not found	Digital	Digital	Digital	Annual Reporting	Not found	Not found	Annual Reporting	Digital	Digital	Not found	Not found	Not found	Digital	Physical	Digital	Digital	Digital	Digital	Digital	Digital	Digital	Digital	Not found	Not found	Not found	Physical	Annual Reporting	Not found	Digital	Digital	Digital	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Digital	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Digital	Not found	Digital	Digital	Not found	Digital	Digital	Digital	Digital	Annual Reporting	Digital	Digital	Not found	Physical	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Digital
Cognizant Technology Solutions Corp	US	186	62	49	49	49	0,731182796	0,462365591	0,537634409	0,102613019	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found
Colgate-Palmolive Co	US	258	183	81	82	90	0,717054264	0,348837209	0,403100775	0,091040202	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Digital	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Digital	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Digital	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Digital	Not found	Not found	Not found	Annual Reporting	Not found	Digital	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Digital	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Digital	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Physical	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Digital	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found
Comcast Corp	US	190	584	7	14	36	0,273684211	0,873684211	0,905263158	0,544432133	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Digital	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Annual Reporting	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Physical	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Digital	Digital	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Digital	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Digital	Digital	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found
Commonwealth Bank of Australia	AU	154	129	4	19	19	0,597402597	0,74025974	0,883116883	0,233091584	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Annual Reporting	Physical	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found
Compagnie Financiere Richemont SA	CH	94	177	29	29	34	0,872340426	0,372340426	0,521276596	0,072204617	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Digital	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found
Compass Group PLC	GB	666	141	66	66	66	0,702702703	0,561561562	0,654654655	0,145429213	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found
ConocoPhillips	US	103	19	13	15	17	0,708737864	0,54368932	0,72815534	0,148458856	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Digital	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Physical	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Annual Reporting	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found	Not found
